Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Valence electron count,Van der Waals Atomic Radius (pm),Empirical Atomic Radius (pm),Covalent Atomic Radius (pm),Elemental density (grams per cubic centimeter),Target
0.0,0.154,0.0,0.0,0.0,0.154,0.154,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.005999999999999,187.957,136.67499999999998,131.054,7.464379999999999,639.0
0.0,0.222,0.0,0.0,0.0,0.222,0.222,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.438,191.697,135.975,132.09,7.033848,857.0
0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000000000000001,189.00000000000009,136.0,131.4,7.228000000000001,708.0
0.0,0.167,0.0,0.0,0.0,0.167,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,184.85,135.965,130.288,7.514127999999999,586.0
0.0,0.154,0.0,0.0,0.0,0.154,0.154,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081999999999999,183.183,135.905,129.822,7.624231999999999,395.0
0.0,0.182,0.0,0.0,0.0,0.182,0.182,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,5.46,184.821,135.59,131.404,6.869772,178.0
0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,4.875,184.25,138.125,141.25,6.5645,780.0
0.0,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.143,4.718999999999999,183.755,137.995,141.713,6.487337999999999,790.0
0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.167,4.008,182.531,138.61,144.455,6.096502,800.0
0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,4.625,178.75,139.375,142.625,7.343624999999999,680.0
